price,retail_price,currency_buyer,units_sold,uses_ad_boosts,rating,rating_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,theme,crawl_month,id
13.0,11,EUR,20000,1,4.0,4378,0,0,0,0,"bohemia,Shorts,Deep V-neck Dress,long dress,Rose,Dress,boho,highsplitdre,Women's Fashion,flowerprinteddre,printed,party,Maxi Dresses,Beach,Casual",navyblue,S,50,Livraison standard,3,0,43,50,1.0,Quantité limitée !,CN,Fancykini Wardrobe,fancykiniwardrobe,"91 % avis positifs (44,067 notes)",44067,4.2884925227494515,53208a086fa88c662a693514,0,,summer,2020-08,1362
11.0,10,EUR,20000,0,5.0,3648,1,0,1,0,"sleeve v-neck,Summer,Shorts,Sleeve,zippers,studentsstyle,slim,short sleeves,V-neck,bodycon,Summer Fashion,contrastcolor,Body Suit,women Jumpsuit,jumpsuit,Slim Fit",black,XL,1,Livraison standard,2,0,39,1,,,CN,TopLifeYouNeed,toplifeyouneed,"91 % avis positifs (4,448 notes)",4448,4.29226618705036,58be502223167e61443f4d92,0,,summer,2020-08,823
18.0,16,EUR,1000,1,4.0,477,1,0,0,1,"Women's Fashion,dressforwomen,Cocktail,Summer,Dresses,Dress,summer dress,Polkas,boho,beach dress,Party Dress,party,women dress,Beach,polka dot,Women",yellow,S.,50,Livraison standard,5,0,27,50,1.0,Quantité limitée !,CN,Jun U Near Store,jununearstore,"88 % avis positifs (2,116 notes)",2116,4.146030245746692,5b420ce3d9b2a4418b74ae31,0,,summer,2020-08,54
13.0,15,EUR,100,0,4.0,55,1,0,0,1,"bohemia,sleeveless,Shorts,Rose,long dress,Vintage,Dress,boho,Women's Fashion,Fashion,printed,maxi dress,jumpsuit,women dress,Women,Beach,Vintage dress",green,S(bust 88cm),2,Livraison standard,3,0,33,50,,,CN,huanjun411,huanjun411,"93 % avis positifs (3,276 notes)",3276,4.428571428571429,582ff4f70299bc4f4b90d203,0,,summer,2020-08,1215
6.0,6,EUR,5000,0,4.0,506,0,0,0,0,"Summer,Vest,Plus Size,Floral print,camisole,Loose,Round neck,Print,Women's Fashion,Fashion,Floral,sleeveless,Casual,Necks",yellow,XS,7,Livraison standard,2,0,24,50,,,CN,hzxuch,hzxuch,"(2,127 notes)",2127,3.8175834508697695,5bde9444a53011739fbde291,0,,summer,2020-08,932
5.0,38,EUR,50,1,5.0,2,0,0,0,0,"Summer,Fashion,pants,widelegpant,Women's Fashion,trousers,solid color,Wool,Casual,Women",khaki,XS,17,Livraison standard,1,0,33,50,,,CN,zufanqiudinli,zufanqiudinli,88 % avis positifs (9 notes),9,3.6666666666666665,5e4b6a0c57cc9b0b53e499a4,0,,summer,2020-08,569
2.0,2,EUR,1000,0,4.0,81,1,0,1,0,"blouse,Summer,Plus Size,Tops & Blouses,Lace,Tank,Tops,topsamptshirt,tank top,Women's Fashion,Fashion,Loose,topsampblouse,Print,sleeveless,sexy,Women,Casual,Cotton",green,XS,1,Livraison standard,1,0,35,50,1.0,Quantité limitée !,CN,hellohorse,hellohorse,"89 % avis positifs (126,370 notes)",126370,4.14695734747171,58ad449708de0c6dc59d9e06,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_58ad449708de0c6dc59d9e06.jpg,summer,2020-08,1407
15.0,13,EUR,10,0,4.0,4,0,0,0,0,"Summer,Shorts,shortsleeveset,mensjoggersuit,summersuitset,summersportssuit,jogging suit,Outfits & Sets,Sport Suits,mentracksuit,men's suits,Sports Wear",white,S,50,Livraison standard,4,0,42,50,,,CN,zengdaitao,zengdaitao,85 % avis positifs (331 notes),331,4.021148036253776,5aae608bdb5f1f42a93eaaed,0,,summer,2020-08,293
3.0,3,EUR,100,0,4.0,12,0,0,0,0,"Summer,Fashion,Necks,Skirts,Dress,Loose,Women's Fashion,Round neck,beach dress,sleeveless,Beach,Casual,Women",white,XXS,2,Livraison standard,1,0,40,50,,,CN,KinzieWoolShop,kinziewoolshop,"91 % avis positifs (38,100 notes)",38100,4.291469816272966,56c2e30edf108f11548c6dcb,0,,summer,2020-08,666
12.0,87,EUR,10000,0,4.0,2404,0,0,0,0,"Summer,Cocktail,sundress,long dress,baggydres,Dress,beach wear,strap,boho,Women's Fashion,Maxis,party,sexy,Beach,Casual,Women",white,M,15,Livraison standard,3,0,40,50,,,CN,vvfashion2016,vvfashion2016,"90 % avis positifs (90,105 notes)",90105,4.2012984851007165,58131ddf6f55296033923a7c,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_58131ddf6f55296033923a7c.jpg,summer,2020-08,817
8.0,17,EUR,5000,0,5.0,907,1,0,1,0,"Summer,Vest,Fashion,crop top,women crop top,Tank,Buckles,Tops,tank top,Bags,Tops & T-Shirts,Casual Tops,sexy,women top,summer tops,Women Fashion",black,S,50,Livraison standard,2,0,40,50,,,CN,fashion belts,fashionbelts,"94 % avis positifs (1,963 notes)",1963,4.397350993377484,561921dd9342a274cb448c07,0,,summer,2020-08,515
5.91,5,EUR,1000,0,4.0,414,0,0,0,0,"blouse,Summer,Vest,Fashion,Women Blouse,sleevelessblouse,summer shirt,Loose,tank top,Casual,summerblouse,Women's Fashion,sleeveless tops,women top,casualblouse,Women",White,S,50,Livraison standard,2,0,36,50,1.0,Quantité limitée !,CN,liminny,liminny,"81 % avis positifs (12,134 notes)",12134,3.86690291742212,58aec90823ef726994a323fe,0,,summer,2020-08,477
1.72,26,EUR,1000,1,4.0,18,0,0,0,0,"Tops & Tees,Plus Size,Tank,Shirt,Summer,Tops,summer t-shirts,tank top,Women's Fashion,Fashion,printed,whiskeytshirt,sleeveless,o-neck,Casual,Women Fashion,Cotton",yellow,XS,9,Livraison standard,1,0,43,50,1.0,Quantité limitée !,CN,LLpp,llpp,"85 % avis positifs (1,373 notes)",1373,4.007283321194465,5d5f4780bd01a83fca39e0db,0,,summer,2020-08,592
6.0,6,EUR,100,1,5.0,2,0,0,0,0,"Summer,casualjumpsuit,summerjumpsuit,cottonblendjumpsuit,jumpsuitforwomen,widelegpant,Jumpsuits & Rompers,sleevelessjumpsuit,loosejumpsuit,sleeveless,Women,women Jumpsuit,Casual,jumpsuit",black,XS,1,Standard Shipping,2,0,27,50,1.0,Quantité limitée !,CN,gaoying666300,gaoying666300,81% Positive Feedback (28 ratings),28,4.035714285714286,5e4f6a3a29e786346774bcce,0,,summer,2020-08,183
7.0,6,EUR,100,0,4.0,71,0,0,0,0,"Leggings,fashionpantyhose,womenshortpant,Casual pants,pants,Women jeans,Short pants,Shorts,Casual,Women's Fashion,Fashion,Denim Shorts,pants women,fashion pants,Jeans,Women",navyblue,s,50,Livraison standard,2,0,36,50,,,CN,liminny,liminny,"81 % avis positifs (12,134 notes)",12134,3.86690291742212,58aec90823ef726994a323fe,0,,summer,2020-08,324
11.0,17,EUR,5000,0,4.0,692,0,0,0,0,"Plus Size,Sleeve,Irregular,women dresses,long dress,Dress,short sleeves,baggy,Women's Fashion,Shorts,maxi dress,Geometric,Women,Casual,Cotton",red,XS,50,Livraison standard,3,0,37,50,1.0,Quantité limitée !,CN,ChenMo Shop,ahaashop,"82 % avis positifs (4,830 notes)",4830,3.8430641821946168,5ae2fae49d5e9703cfd6b63c,0,,summer,2020-08,1422
6.0,6,EUR,100,0,4.0,8,0,0,0,0,"Summer,Sling,Dresses,Dress,V-neck,Casual,Pocket,Women's Fashion,Sleeveless dress,women dress,Floral,sleeveless,Women,loose dress,Pleated,casual dress",white & green,XS,5,Livraison standard,2,0,23,50,,,CN,zhuangyuping1,zhuangyuping1,79 % avis positifs (127 notes),127,3.874015748031496,5eb51ed929e7865dc268a561,0,,summer,2020-08,1162
3.81,4,EUR,1000,0,3.0,101,0,0,0,0,"Summer,Fashion,Mini,Tops,Loose,Polkas,V-neck,Women's Fashion,backless,polka dot,Dress,sleeveless,Casual",black,XS,1,Livraison standard,1,0,37,50,,,CN,liveupp,liveupp,"83 % avis positifs (1,012 notes)",1012,3.983201581027668,5819d0d196f2cc7dffad41ec,0,,summer,2020-08,161
16.0,59,EUR,1000,1,4.0,222,0,0,0,0,"joggingpant,Shorts,Casual pants,beachpant,pants,Overalls,Classics,tacticalpant,bermudashort,summerpant,Summer,Cargo pants,trackpant,Casual,looseshort",black,29,50,Livraison standard,4,0,43,50,,,CN,Man's ocean,mansocean,"(3,743 notes)",3743,3.8971413304835703,58d4832721ad9176d0d3d00f,0,,summer,2020-08,1519
7.0,6,EUR,20000,1,4.0,2464,0,0,0,0,"Summer,Vest,Plus Size,tunic,Tops,blousetop,Casual,Women's Fashion,Printing,tank top,V-neck,sleeveless,Fashion,plusszie",green,M,2,Standard Shipping,2,0,50,50,,,CN,Prosehome,prosehome,"86% Positive Feedback (3,271 ratings)",3271,4.069703454601039,5c80bd2ab1ad6a6fc52a7eb3,0,,summer,2020-08,1094
8.0,7,EUR,20000,1,4.0,5641,0,0,0,0,"Women,Tassels,Plus Size,women dresses,Dresses,Dress,summer dress,Women's Fashion,Floral dress,decoration,boho,beach dress,Fashion,Female,sexy,Print,bohemian dress,Geometric,bohemian,Beach,Women Clothing",multicolor,XXS,50,Livraison standard,2,0,38,50,,,CN,Happygirl International Shopping Park,happygirlinternationalshoppingpark,"(70,773 notes)",70773,4.038319698189988,54af9c1428565a151043b6bf,0,,summer,2020-08,1039
12.0,11,EUR,5000,0,4.0,247,0,0,0,0,"Summer,Shorts,Sleeve,pants,Short pants,Women Set,summer shorts,T Shirts,leopardprinted,Women's Fashion,lip,shirtandshort,Print,sexy,short sleeve shirt,lovely,lipsprint",brown,S,50,Livraison standard,3,0,41,50,,,CN,persisttree,persisttree,"(31,916 notes)",31916,4.105777666374232,58dceeb2a6d6757401114dfd,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_58dceeb2a6d6757401114dfd.jpg,summer,2020-08,495
11.0,152,EUR,1000,0,4.0,808,0,0,0,0,"Summer,Shorts,Waist,Women jeans,Denim,Slim Fit,summer shorts,jean shorts,women shorts,Fashion,Denim Shorts,high waisted shorts,sexy,Jeans,Women's Fashion,Casual,high waist",blue,XS,50,Livraison standard,2,0,43,50,1.0,Quantité limitée !,CN,Gossip Girl 1,aqlangweigarmentstradingcoltd,"83 % avis positifs (87,178 notes)",87178,3.908359907316066,5440e3d7f8abc82cbd97b19c,0,,summer,2020-08,404
12.0,43,EUR,100,0,4.0,27,0,0,0,0,"Women Pants,capripant,elastic waist,Waist,Elastic,pants,Summer,Fitness,jogging,harem pants,Women's Fashion,trousers,34pant,Sport,Fashion,Casual",lightpink,M,50,الشحن القياسي,3,0,42,50,,,CN,Raverks,raverks,"83% ردود فعل إيجابية (3,237 تصنيفات)",3237,3.948409020698177,55dc2bf3b92a5941ebd4ecf2,0,,summer,2020-08,1226
11.0,10,EUR,10000,0,4.0,1717,0,0,0,0,"Mini,bikiniswimwearcoverup,Fashion,Lace,Summer,Dress,Mini dress,Women's Fashion,sexy lace,crochet,sexy,knit,blouse,lacehollow,beach coverup,Tops,summer dress,Cover,Bikini,Swimwear,boho,white,women top,Beach",white,,50,Livraison standard,3,0,23,50,,,CN,Home Goods,公狼电子,"90 % avis positifs (190,918 notes)",190918,4.235886611005772,54125ab34ad3ab158c0f72d9,0,,summer,2020-08,19
12.0,11,EUR,10000,0,4.0,3560,0,0,0,0,"Mini,Plus Size,Print Dresses,Waist,Summer,Dress,Mini dress,Women's Fashion,vestido,Floral,Spaghetti,Women",navyblue,S,50,Livraison standard,3,0,30,50,1.0,Quantité limitée !,CN,Chen Tidal current clothing,chentidalcurrentclothing,"85 % avis positifs (19,521 notes)",19521,3.9848368423748783,5620c3b23a698c4bc7d17e8c,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_5620c3b23a698c4bc7d17e8c.jpg,summer,2020-08,305
8.0,7,EUR,1000,0,5.0,578,0,0,0,0,"Summer,Bikinis Set,Womens Swimsuit,Bikini swimwear,women swimsuit,high waist bikini,high waisted bathing suits,Swimwear,Bikini,Suits,high waist swimsuit,two piece swimsuit,bandage bikini,women bathing suit,Swimsuit,Fashion,Swimming",yellow,XS,50,Livraison standard,3,0,31,50,,,CN,good999,good999,"90 % avis positifs (17,816 notes)",17816,4.179445442299056,56e43d9e3a698c3826a5feff,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_56e43d9e3a698c3826a5feff.jpg,summer,2020-08,1063
6.0,11,EUR,1000,0,4.0,76,0,0,0,0,"Summer,Shorts,pantsforwomen,pants,Short pants,summer shorts,women shorts,sportshort,yogashort,Women's Fashion,Fashion,sexy,shortpantsforwomen,Beach,Casual",red,S,50,Livraison standard,2,0,43,50,,,CN,young's boutique,youngsboutique,"80 % avis positifs (54,504 notes)",54504,3.8016842800528403,55c8029641d799421d41fe3a,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_55c8029641d799421d41fe3a.jpg,summer,2020-08,173
11.0,10,EUR,5000,1,4.0,249,0,0,0,0,"Summer,Shorts,pants,Loose,Overalls,Casual,Women's Fashion,Fashion,black,sleeveless,jumpsuit,jumpsuitsampromper,Women Fashion,Women",black,S.,35,Livraison standard,2,0,28,50,,,CN,shuilingjiao international trade company,shuilingjiaointernationaltradecompany,"87 % avis positifs (88,193 notes)",88193,4.080890773644168,5533c83986ff95173dc017d0,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_5533c83986ff95173dc017d0.jpg,summer,2020-08,546
12.0,11,EUR,10000,0,4.0,1276,0,0,0,0,"Summer,Plus Size,pants,harlonpant,Loose,Long pants,Women's Fashion,trousers,printed,Casual,Women",red,S,15,Livraison standard,3,0,11,50,1.0,Quantité limitée !,CN,cjinxiang,cjinxiang,"(6,158 notes)",6158,3.794738551477753,5b24b6bdd1c3601ba899f0c0,0,,summer,2020-08,539
1.74,2,EUR,100,1,4.0,12,0,0,0,0,"pink,Vest,Fashion,Lace,Summer,outweartop,slim,tank top,Women's Fashion,sleeveless tops,summerwomentop,Women,Deep V-Neck,Tank,Necks,Women Fashion,lace top,Tops,lace vest,black,blackwhitepink,scallopedtrimtop,sleeveless,white",pink,XS,50,Livraison standard,1,0,41,50,,,CN,Memo2,memo2,"81 % avis positifs (18,138 notes)",18138,3.831513948616165,58ba636a69ad29505a730852,0,,summer,2020-08,1028
18.0,115,EUR,100,0,4.0,177,0,0,0,0,"Summer,Plus Size,Office,Sleeve,Dresses,Lady,Dress,short sleeves,V-neck,Shorts,Elegant,Women's Fashion,Printing,Temperament,sexy,silk,Fashion,Women",red,M,34,Livraison standard,5,0,51,50,1.0,Quantité limitée !,CN,xvsivo7412,xvsivo7412,(300 notes),300,4.156666666666666,57ac5da80e3c8a18b4746013,0,,summer,2020-08,84
8.0,25,EUR,1000,1,4.0,220,0,0,0,0,"Summer,Fitness,Shorts,Yoga,Lace,pants,Athletics,yoga pants,Short pants,athleticpant,lounge,Women's Fashion,Panties,Sport,women trousers,Women,athleticshort,Fashion,Cotton",pink,M,50,Livraison standard,3,0,43,50,,,CN,Masa co.ltd.,masacoltd,"82 % avis positifs (4,072 notes)",4072,3.9002946954813367,565c1b173a698c769e2be15d,0,,summer,2020-08,125
5.83,5,EUR,100,0,5.0,22,0,0,0,0,"Summer,Vest,Plus Size,Floral print,camisole,Loose,Round neck,Print,Women's Fashion,Fashion,Floral,sleeveless,Casual,Necks",yellow,XS,3,Livraison standard,1,0,24,50,1.0,Quantité limitée !,CN,DERNMUUR,,"84 % avis positifs (17,471 notes)",17471,3.952836128441417,5aab3c8ea6bf7a704caec65c,0,,summer,2020-08,1264
6.0,56,EUR,1000,1,3.0,938,0,0,0,0,"Mini,Summer,pleated dress,Lace,women dresses,Dress,V-neck,Mini dress,backless,Sexy Dress,sexy lace,sleeveless,sexy,Beach,Women",RED,choose a size,1,Livraison standard,2,0,28,50,,,CN,Nalin International,nalininternational,"(13,309 notes)",13309,3.876699977458863,55c89dc93a698c6010edccc4,0,,summer,2020-08,461
14.0,107,EUR,1000,1,5.0,425,1,0,1,0,"sleeve v-neck,Summer,slim,Sleeve,Slim Fit,short sleeves,V-neck,Shorts,rompers womens jumpsuit,bodysuitwomen,contrastcolor,zippers,sexy jumpsuit,jumpsuit",white,M,50,Livraison standard,4,0,10,50,,,CN,longming,longming,"85 % avis positifs (27,175 notes)",27175,3.966034958601656,58a99ceca65ebc504a6ebf1e,0,,summer,2020-08,909
2.0,2,EUR,100,1,3.0,9,0,0,0,0,"Summer,Plus Size,Necks,Sleeve,Vintage,Dress,short sleeves,Floral dress,Casual,Round neck,Print,Women's Fashion,Shorts,print dress,Floral,women dress,loose dress",armygreen,XXXS,50,Livraison standard,1,0,42,50,1.0,Quantité limitée !,CN,lionmouse,lionmouse,"85 % avis positifs (26,951 notes)",26951,4.035360468999294,58da49c92c3a8f52a755d4a0,0,,summer,2020-08,601
11.0,11,EUR,5000,1,4.0,1401,0,0,0,0,"strapless,Fashion,off the shoulder top,Tops,strapless crop top,Two piece set,Women's Fashion,twopieceoutfit,Suits,Print,crop top,sexy,croptopsforwomen,summer tops,Women",white,XL,41,Livraison standard,2,0,37,50,,,CN,chailing,chailing,"87 % avis positifs (13,879 notes)",13879,4.054470783197637,5972058b439a9828e425dd78,0,,summer,2020-08,1221
8.0,31,EUR,1000,1,4.0,155,0,0,0,0,"Vest,Fashion,letter print,Shirt,topsamptshirt,tank top,tank tops women,Sleeveless Shirt,Plus Size,sleeveless tops,sleeveless,Sport,Casual,T Shirts,Women,Tank,Sexy Top,Tops,loose t-shirt,Women's Fashion,Cami Tank Tops,T-Shirt womens,Print,lace tank top,womens tank tops",white,S,50,Livraison standard,2,0,43,50,,,CN,Yellow store,yellowstore,"80 % avis positifs (28,295 notes)",28295,3.8099664251634566,565c293d99558d1ed8ae7fb2,0,,summer,2020-08,80
9.0,8,EUR,5000,0,4.0,827,0,0,0,0,"Shorts,Fashion,workoutampyoga,pants,slim,Short pants,Outfits,yogaromper,Women's Fashion,Set,runningjumpsuit,cropped top,Casual,jumpsuit",black,S,50,Livraison standard,3,0,42,50,,,CN,Girls' showtime,girlsshowtime,"89 % avis positifs (124,563 notes)",124563,4.193588786397245,5860cf7b0929fc4d76180aed,0,,summer,2020-08,1033
9.0,8,EUR,1000,1,4.0,248,0,0,0,0,"Summer,Fashion,Outdoor Sports,polohomme,summershortsleevetshirt,T Shirts,herrenpolotshirt,Men's Fashion,poloshirtherren,Polos,poloshirtsformen,Sweatshirts,Printed T Shirts,chemisehomme",blue,XS,2,Livraison standard,3,0,45,50,,,GB,Matt Olivo,mattolivo,"84 % avis positifs (1,722 notes)",1722,3.9065040650406506,58d765d6da2852536d7a3fa9,0,,summer,2020-08,1352
13.0,11,EUR,100,0,4.0,11,0,0,0,0,"Mini,Spaghetti Strap,Corset Dress,short dress,Summer,Dresses,Spaghetti,Dress,summer dress,Women's Fashion,Floral dress,Mini dress,beach dress,Sleeveless dress,Sexy Dress,Floral print,sexy,Fashion",yellow,S.,50,Livraison standard,3,0,28,50,,,CN,yanzhang198411,yanzhang198411,(38 notes),38,3.4736842105263164,5e1691b573bfb90406044928,0,,summer,2020-08,1248
2.0,56,EUR,100,1,3.0,28,0,0,0,0,"Summer,Panties,Elastic,Lace,Casual pants,casualshort,summer shorts,Plus Size,Short pants,women shorts,Shorts,Beach Shorts Women,Beach Shorts,loosepant,high waisted shorts,Lace Up,Women's Fashion,Women",lightblue,S,2,Livraison standard,1,0,26,50,,,CN,sell best quality goods,sellbestqualitygoods,"(4,435 notes)",4435,3.696054114994363,54d83b6b6b8a771e478558de,0,,summer,2020-08,260
5.79,42,EUR,1000,0,3.0,121,0,0,0,0,"Summer,Vest,summer t-shirts,looseblouse,Cross,tank top,Spaghetti Strap,Sleeveless Shirt,Plus Size,topandblouse,deepneck,Spaghetti,Casual,Women Fashion,Women,blouse,Tank,Necks,Beach,Tops,beachvest,Women's Fashion,T Shirts,Fashion,sleeveless",red,S,50,Livraison standard,2,0,43,50,1.0,Quantité limitée !,CN,Molesfashion,molesfashion,"83 % avis positifs (5,083 notes)",5083,3.9474719653747785,566eaa533a698c6442549a74,0,,summer,2020-08,361
1.66,2,EUR,1000,1,4.0,33,1,0,1,0,"Summer,Fashion,art,Beauty,sequinsnailgel,Nail Polish,nailuvgel,colorgel,soakoffgel,Spring,mattegel,Nails,gel nail polish,Nail Gel,UV Gel,nail art,uv",,Base Coat,50,Livraison standard,1,0,34,50,,,CN,Harunouta Nail,harunoutanail,"(15,221 notes)",15221,4.3932067538269495,5bdc1408c23b3222e81f3936,0,,summer,2020-08,175
